"
 To Do",,,0/15 completed  ,,,,
,,,,,,,
✓,Date Assigned,Date Completed,Task,Task Assigned To:,Notes,✓,Outcome / Decision Notes
FALSE,11/15,,verify social media integrations,,for scheduling posts,FALSE,
FALSE,11/15,,verify transaction options,,"how can people give? (not just $ ... take surveys, sign-up for newsletter, volunteer, etc)",FALSE,
FALSE,11/16,,website redesign 1,,quick refresh / simplification,FALSE,
FALSE,11/17,,review available content ,,what can we use to encourage people to give?,FALSE,
FALSE,11/17,,review available resources ,,what is the time and labor requirement to execute?,FALSE,
FALSE,11/17,,brainstorm marketing materials,,what is the minimum viable product?,FALSE,
FALSE,11/19,,produce marketing materials,,digital and physical materials recommended,FALSE,
FALSE,11/19,,brainstorm long term goals of project,,think: users exposed to content may want additional content. What is the goal for content production? is it SMART? user engagement over time?,FALSE,
FALSE,11/16,,identify communication channels,,who will share to their networks on our behalf?,FALSE,
FALSE,11/17,,engage stakeholders,,what is the stakeholder engagement strategy?,FALSE,
FALSE,11/21,,launch marketing materials,,send it,FALSE,
FALSE,11/21,,monitor,,check the pulse / maintain pacing,FALSE,
FALSE,11/21,,report,,routine report form?,FALSE,
FALSE,12/5,,after action report,,within 7 days,FALSE,
FALSE,2/20,,final audit,,at 90 days,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
FALSE,,,,,,FALSE,
